period,odds,score,matchID,odds_home,odds_draw,odds_away,score_home,score_away,home_name,home_short,away_name,away_short
21.03.21 ,2.90 / 3.46 / 2.40,0:2,4338,2.90,3.46,2.40,0,2,Aston Villa,AST ,Tottenham,TOT 
03.04.21 ,1.24 / 5.99 / 11.72,2:5,4339,1.24,5.99,11.72,2,5,Chelsea,CHE ,West Brom,WBA 
03.04.21 ,1.77 / 3.74 / 4.49,2:1,4340,1.77,3.74,4.49,2,1,Leeds United,LEE ,Sheffield Utd,SHE 
03.04.21 ,6.42 / 4.33 / 1.49,0:2,4341,6.42,4.33,1.49,0,2,Leicester City,LEI ,Man City,MCI 
03.04.21 ,3.29 / 3.52 / 2.12,0:3,1436,3.29,3.52,2.12,0,3,Arsenal,ARS ,Liverpool,LIV 
04.04.21 ,2.26 / 3.30 / 3.20,3:2,4342,2.26,3.30,3.20,3,2,Southampton,SOU ,Burnley,BUR 
04.04.21 ,4.95 / 3.86 / 1.67,2:2,4343,4.95,3.86,1.67,2,2,Newcastle,NEW ,Tottenham,TOT 
04.04.21 ,2.23 / 3.36 / 3.20,3:1,4344,2.23,3.36,3.20,3,1,Aston Villa,AST ,Fulham,FUL 
04.04.21 ,1.48 / 4.36 / 6.52,2:1,4345,1.48,4.36,6.52,2,1,Man United,MUN ,Brighton Hove,BHA 
05.04.21 ,1.83 / 3.53 / 4.38,1:1,4346,1.83,3.53,4.38,1,1,Everton,EVE ,Crystal Palace,CRY 
05.04.21 ,2.55 / 3.19 / 2.84,2:3,4347,2.55,3.19,2.84,2,3,Wolverhampton,WOL ,West Ham,WHU 
09.04.21 ,2.46 / 3.17 / 2.95,0:1,4348,2.46,3.17,2.95,0,1,Fulham,FUL ,Wolverhampton,WOL 
10.04.21 ,1.23 / 6.12 / 12.56,1:2,4349,1.23,6.12,12.56,1,2,Man City,MCI ,Leeds United,LEE 
10.04.21 ,1.39 / 4.72 / 7.84,2:1,1438,1.39,4.72,7.84,2,1,Liverpool,LIV ,Aston Villa,AST 
10.04.21 ,7.05 / 4.01 / 1.49,1:4,4350,7.05,4.01,1.49,1,4,Crystal Palace,CRY ,Chelsea,CHE 
11.04.21 ,2.33 / 3.19 / 3.15,1:2,4351,2.33,3.19,3.15,1,2,Burnley,BUR ,Newcastle,NEW 
11.04.21 ,2.82 / 3.33 / 2.47,3:2,4352,2.82,3.33,2.47,3,2,West Ham,WHU ,Leicester City,LEI 
11.04.21 ,2.78 / 3.41 / 2.45,1:3,4353,2.78,3.41,2.45,1,3,Tottenham,TOT ,Man United,MUN 
11.04.21 ,4.72 / 3.63 / 1.75,0:3,4354,4.72,3.63,1.75,0,3,Sheffield Utd,SHE ,Arsenal,ARS 
12.04.21 ,3.43 / 3.31 / 2.15,3:0,4355,3.43,3.31,2.15,3,0,West Brom,WBA ,Southampton,SOU 
12.04.21 ,2.75 / 3.25 / 2.56,0:0,4356,2.75,3.25,2.56,0,0,Brighton Hove,BHA ,Everton,EVE 
16.04.21 ,3.07 / 3.37 / 2.33,2:2,4357,3.07,3.37,2.33,2,2,Everton,EVE ,Tottenham,TOT 
17.04.21 ,4.10 / 3.55 / 1.90,3:2,4358,4.10,3.55,1.90,3,2,Newcastle,NEW ,West Ham,WHU 
17.04.21 ,1.60 / 3.84 / 6.02,1:0,4359,1.60,3.84,6.02,1,0,Wolverhampton,WOL ,Sheffield Utd,SHE 
18.04.21 ,1.77 / 3.61 / 4.74,1:1,4360,1.77,3.61,4.74,1,1,Arsenal,ARS ,Fulham,FUL 
18.04.21 ,1.34 / 5.05 / 9.03,3:1,4361,1.34,5.05,9.03,3,1,Man United,MUN ,Burnley,BUR 
19.04.21 ,4.49 / 4.21 / 1.69,1:1,1440,4.49,4.21,1.69,1,1,Leeds United,LEE ,Liverpool,LIV 
20.04.21 ,1.54 / 4.15 / 6.24,0:0,4362,1.54,4.15,6.24,0,0,Chelsea,CHE ,Brighton Hove,BHA 
21.04.21 ,1.60 / 3.99 / 5.51,2:1,4363,1.60,3.99,5.51,2,1,Tottenham,TOT ,Southampton,SOU 
21.04.21 ,6.53 / 4.42 / 1.48,1:2,4364,6.53,4.42,1.48,1,2,Aston Villa,AST ,Man City,MCI 
22.04.21 ,1.46 / 4.48 / 6.98,3:0,4365,1.46,4.48,6.98,3,0,Leicester City,LEI ,West Brom,WBA 
23.04.21 ,1.89 / 3.59 / 4.09,0:1,4366,1.89,3.59,4.09,0,1,Arsenal,ARS ,Everton,EVE 
24.04.21 ,1.35 / 5.14 / 8.50,1:1,21,1.35,5.14,8.50,1,1,Liverpool,LIV ,Newcastle,NEW 
24.04.21 ,3.52 / 3.52 / 2.06,0:1,156,3.52,3.52,2.06,0,1,West Ham,WHU ,Chelsea,CHE 
24.04.21 ,3.54 / 3.35 / 2.12,1:0,201,3.54,3.35,2.12,1,0,Sheffield Utd,SHE ,Brighton Hove,BHA 
25.04.21 ,2.13 / 3.35 / 3.51,0:4,273,2.13,3.35,3.51,0,4,Wolverhampton,WOL ,Burnley,BUR 
25.04.21 ,3.61 / 3.75 / 1.97,0:0,324,3.61,3.75,1.97,0,0,Leeds United,LEE ,Man United,MUN 
25.04.21 ,1.77 / 3.72 / 4.53,2:2,366,1.77,3.72,4.53,2,2,Aston Villa,AST ,West Brom,WBA 
26.04.21 ,1.55 / 4.09 / 6.11,2:1,423,1.55,4.09,6.11,2,1,Leicester City,LEI ,Crystal Palace,CRY 
30.04.21 ,3.98 / 3.56 / 1.93,1:1,715,3.98,3.56,1.93,1,1,Southampton,SOU ,Leicester City,LEI 
01.05.21 ,8.56 / 4.56 / 1.39,0:2,717,8.56,4.56,1.39,0,2,Crystal Palace,CRY ,Man City,MCI 
01.05.21 ,2.11 / 3.50 / 3.41,2:0,770,2.11,3.50,3.41,2,0,Brighton Hove,BHA ,Leeds United,LEE 
01.05.21 ,1.41 / 4.42 / 8.76,2:0,781,1.41,4.42,8.76,2,0,Chelsea,CHE ,Fulham,FUL 
01.05.21 ,2.13 / 3.36 / 3.51,1:2,806,2.13,3.36,3.51,1,2,Everton,EVE ,Aston Villa,AST 
02.05.21 ,4.52 / 3.63 / 1.80,0:2,865,4.52,3.63,1.80,0,2,Newcastle,NEW ,Arsenal,ARS 
02.05.21 ,1.35 / 5.09 / 8.64,4:0,878,1.35,5.09,8.64,4,0,Tottenham,TOT ,Sheffield Utd,SHE 
03.05.21 ,3.34 / 3.18 / 2.28,1:1,898,3.34,3.18,2.28,1,1,West Brom,WBA ,Wolverhampton,WOL 
03.05.21 ,3.91 / 3.50 / 1.96,1:2,904,3.91,3.50,1.96,1,2,Burnley,BUR ,West Ham,WHU 
07.05.21 ,1.46 / 4.45 / 6.80,2:4,1281,1.46,4.45,6.80,2,4,Leicester City,LEI ,Newcastle,NEW 
08.05.21 ,3.10 / 3.51 / 2.23,3:1,1292,3.10,3.51,2.23,3,1,Leeds United,LEE ,Tottenham,TOT 
08.05.21 ,2.86 / 3.20 / 2.53,0:2,1317,2.86,3.20,2.53,0,2,Sheffield Utd,SHE ,Crystal Palace,CRY 
08.05.21 ,1.78 / 3.69 / 4.49,1:2,1324,1.78,3.69,4.49,1,2,Man City,MCI ,Chelsea,CHE 
08.05.21 ,1.36 / 5.17 / 7.76,2:0,1349,1.36,5.17,7.76,2,0,Liverpool,LIV ,Southampton,SOU 
09.05.21 ,2.94 / 3.16 / 2.51,2:1,1595,2.94,3.16,2.51,2,1,Wolverhampton,WOL ,Brighton Hove,BHA 
09.05.21 ,4.18 / 3.72 / 1.83,1:3,1624,4.18,3.72,1.83,1,3,Aston Villa,AST ,Man United,MUN 
09.05.21 ,2.39 / 3.30 / 2.98,0:1,1630,2.39,3.30,2.98,0,1,West Ham,WHU ,Everton,EVE 
09.05.21 ,1.47 / 4.43 / 6.48,3:1,1637,1.47,4.43,6.48,3,1,Arsenal,ARS ,West Brom,WBA 
10.05.21 ,2.00 / 3.33 / 3.86,0:2,1703,2.00,3.33,3.86,0,2,Fulham,FUL ,Burnley,BUR 
11.05.21 ,2.03 / 3.51 / 3.65,1:2,1879,2.03,3.51,3.65,1,2,Man United,MUN ,Leicester City,LEI 
11.05.21 ,1.88 / 3.75 / 4.25,3:1,1882,1.88,3.75,4.25,3,1,Southampton,SOU ,Crystal Palace,CRY 
12.05.21 ,1.65 / 3.82 / 5.33,0:1,2001,1.65,3.82,5.33,0,1,Chelsea,CHE ,Arsenal,ARS 
13.05.21 ,2.25 / 3.68 / 3.02,0:0,2380,2.25,3.68,3.02,0,0,Aston Villa,AST ,Everton,EVE 
13.05.21 ,2.74 / 3.50 / 2.48,2:4,870,2.74,3.50,2.48,2,4,Man United,MUN ,Liverpool,LIV 
14.05.21 ,7.11 / 4.89 / 1.42,3:4,4367,7.11,4.89,1.42,3,4,Newcastle,NEW ,Man City,MCI 
15.05.21 ,2.62 / 3.35 / 2.71,0:4,2056,2.62,3.35,2.71,0,4,Burnley,BUR ,Leeds United,LEE 
15.05.21 ,2.13 / 3.30 / 3.63,3:1,2073,2.13,3.30,3.63,3,1,Southampton,SOU ,Fulham,FUL 
15.05.21 ,2.51 / 3.33 / 2.84,1:1,2090,2.51,3.33,2.84,1,1,Brighton Hove,BHA ,West Ham,WHU 
16.05.21 ,3.06 / 3.27 / 2.38,3:2,2101,3.06,3.27,2.38,3,2,Crystal Palace,CRY ,Aston Villa,AST 
16.05.21 ,1.58 / 4.00 / 5.84,2:0,2119,1.58,4.00,5.84,2,0,Tottenham,TOT ,Wolverhampton,WOL 
16.05.21 ,6.52 / 4.78 / 1.45,1:2,1441,6.52,4.78,1.45,1,2,West Brom,WBA ,Liverpool,LIV 
16.05.21 ,1.59 / 3.94 / 6.01,0:1,2143,1.59,3.94,6.01,0,1,Everton,EVE ,Sheffield Utd,SHE 
18.05.21 ,2.47 / 3.63 / 2.69,0:2,2168,2.47,3.63,2.69,0,2,Southampton,SOU ,Leeds United,LEE 
18.05.21 ,1.43 / 4.85 / 6.83,1:1,2167,1.43,4.85,6.83,1,1,Man United,MUN ,Fulham,FUL 
18.05.21 ,6.82 / 4.35 / 1.48,3:2,2170,6.82,4.35,1.48,3,2,Brighton Hove,BHA ,Man City,MCI 
18.05.21 ,2.00 / 3.45 / 3.75,2:1,2172,2.00,3.45,3.75,2,1,Chelsea,CHE ,Leicester City,LEI 
19.05.21 ,1.70 / 3.83 / 4.90,1:0,4368,1.70,3.83,4.90,1,0,Newcastle,NEW ,Sheffield Utd,SHE 
19.05.21 ,1.58 / 4.31 / 5.38,1:2,4369,1.58,4.31,5.38,1,2,Tottenham,TOT ,Aston Villa,AST 
19.05.21 ,1.92 / 3.56 / 3.99,1:0,4370,1.92,3.56,3.99,1,0,Everton,EVE ,Wolverhampton,WOL 
19.05.21 ,5.68 / 4.16 / 1.57,1:3,4371,5.68,4.16,1.57,1,3,Crystal Palace,CRY ,Arsenal,ARS 
19.05.21 ,5.04 / 4.04 / 1.65,1:3,4372,5.04,4.04,1.65,1,3,West Brom,WBA ,West Ham,WHU 
19.05.21 ,9.11 / 5.56 / 1.31,0:3,1442,9.11,5.56,1.31,0,3,Burnley,BUR ,Liverpool,LIV 
23.05.21 ,1.72 / 3.98 / 4.66,3:0,4379,1.72,3.98,4.66,3,0,West Ham,WHU ,Southampton,SOU 
23.05.21 ,1.46 / 4.85 / 6.34,3:1,4380,1.46,4.85,6.34,3,1,Leeds United,LEE ,West Brom,WBA 
23.05.21 ,2.73 / 3.48 / 2.53,1:2,4381,2.73,3.48,2.53,1,2,Wolverhampton,WOL ,Man United,MUN 
23.05.21 ,1.16 / 8.14 / 17.01,2:0,1443,1.16,8.14,17.01,2,0,Liverpool,LIV ,Crystal Palace,CRY 
23.05.21 ,2.20 / 3.67 / 3.11,0:2,4373,2.20,3.67,3.11,0,2,Fulham,FUL ,Newcastle,NEW 
23.05.21 ,6.59 / 4.42 / 1.49,2:1,4374,6.59,4.42,1.49,2,1,Aston Villa,AST ,Chelsea,CHE 
23.05.21 ,1.42 / 4.85 / 7.12,5:0,4375,1.42,4.85,7.12,5,0,Man City,MCI ,Everton,EVE 
23.05.21 ,1.63 / 4.14 / 5.22,2:0,4376,1.63,4.14,5.22,2,0,Arsenal,ARS ,Brighton Hove,BHA 
23.05.21 ,2.94 / 3.47 / 2.39,1:0,4377,2.94,3.47,2.39,1,0,Sheffield Utd,SHE ,Burnley,BUR 
23.05.21 ,2.01 / 3.93 / 3.37,2:4,4378,2.01,3.93,3.37,2,4,Leicester City,LEI ,Tottenham,TOT 
