Date,MAGS.Close,TSLA.Close,GOOG.Close,AAPL.Close,MSFT.Close,AMZN.Close,META.Close,NVDA.Close
01/05/2024,38.3,180.0,165.6,169.3,394.9,179.0,439.2,83.0
02/05/2024,39.0,180.0,168.5,173.0,397.8,184.7,441.7,85.8
03/05/2024,39.8,181.2,169.0,183.4,406.7,186.2,452.0,88.8
06/05/2024,40.4,184.8,169.8,181.7,413.5,188.7,465.7,92.1
07/05/2024,40.2,177.8,173.0,182.4,409.3,188.8,468.2,90.6
08/05/2024,40.0,174.7,171.2,182.7,410.5,188.0,472.6,90.4
09/05/2024,40.0,172.0,171.6,184.6,412.3,189.5,475.4,88.7
10/05/2024,39.8,168.5,170.3,183.1,414.7,187.5,476.2,89.9
13/05/2024,40.0,171.9,170.9,186.3,413.7,186.6,468.0,90.4
14/05/2024,40.4,177.6,171.9,187.4,416.6,187.1,471.9,91.4
15/05/2024,40.8,174.0,173.9,189.7,423.1,186.0,481.5,94.6
16/05/2024,40.7,174.8,175.4,189.8,421.0,183.6,473.2,94.4
17/05/2024,40.8,177.5,177.3,189.9,420.2,184.7,471.9,92.5
20/05/2024,40.9,174.9,178.5,191.0,425.3,183.5,468.8,94.8
21/05/2024,41.4,186.6,179.5,192.4,429.0,183.1,464.6,95.4
22/05/2024,41.0,180.1,178.0,190.9,430.5,183.1,467.8,94.9
23/05/2024,41.1,173.7,175.1,186.9,427.0,181.1,465.8,103.8
24/05/2024,41.7,179.2,176.3,190.0,430.2,180.8,478.2,106.5
28/05/2024,42.2,176.8,178.0,190.0,430.3,182.1,479.9,113.9
29/05/2024,42.1,176.2,177.4,190.3,429.2,182.0,474.4,114.8
30/05/2024,41.4,178.8,173.6,191.3,414.7,179.3,467.0,110.5
31/05/2024,41.4,178.1,174.0,192.3,415.1,176.4,466.8,109.6
03/06/2024,41.9,176.3,174.4,194.0,413.5,178.3,477.5,115.0
04/06/2024,42.0,174.8,175.1,194.4,416.1,179.3,477.0,116.4
05/06/2024,42.9,175.0,177.1,195.9,424.0,181.3,495.1,122.4
06/06/2024,43.0,177.9,178.4,194.5,424.5,185.0,493.8,121.0
07/06/2024,42.9,177.5,175.9,196.9,423.9,184.3,493.0,120.9
10/06/2024,43.0,173.8,176.6,193.1,427.9,187.1,502.6,121.8
11/06/2024,43.5,170.7,178.2,207.1,432.7,187.2,507.5,120.9
12/06/2024,44.3,177.3,179.6,213.1,441.1,186.9,508.8,125.2
13/06/2024,44.5,182.5,176.7,214.2,441.6,183.8,504.1,129.6
14/06/2024,44.5,178.0,178.4,212.5,442.6,183.7,504.2,131.9
17/06/2024,45.1,187.4,178.8,216.7,448.4,184.1,506.6,131.0
18/06/2024,45.0,184.9,176.4,214.3,446.3,182.8,499.5,135.6
20/06/2024,44.5,181.6,177.7,209.7,445.7,186.1,501.7,130.8
21/06/2024,44.4,183.0,180.3,207.5,449.8,189.1,494.8,126.6
24/06/2024,43.8,182.6,180.8,208.1,447.7,185.6,498.9,118.1
25/06/2024,44.9,187.4,185.6,209.1,451.0,186.3,510.6,126.1
